source,target,relationship_type,trial_id,confidence,evidence_text,direction,temporal_marker,attributes
Jannon,Fran,SPOUSE_OF,w013,1.0,Jannon femme François Joliot,undirected,,{}
Claudotte,Nicolas Boudart,SPOUSE_OF,w013,1.0,Claudotte femme de Nicolas Boudart de Xennenay,undirected,,{}
Marguerite,Nicolas,SPOUSE_OF,w013,1.0,Marguerite femme de Nicolas le Clerc,undirected,,{}
Catherine,Bertrand Graniere,SPOUSE_OF,w013,1.0,Catherine femme de Bertrand Graniere,undirected,,{}
Claudotte,Jean Cordebotte,SPOUSE_OF,w013,1.0,Claudotte femme de Jean Cordebotte de Xennenay,undirected,,{}
Toussaine,Arbin Beustal,SPOUSE_OF,w015,1.0,Toussaine femme Arbin Beustal,undirected,,{}
Paccatte,Remy Claudon,SPOUSE_OF,w015,1.0,Paccatte femme Remy Claudon Bustal,undirected,,{}
Remiere,Nicolas Villaume,SPOUSE_OF,w018,1.0,Remiere femme Nicolas Villaume,undirected,,{}
Didiere,Demenge Jacques,SPOUSE_OF,w018,1.0,Didiere femme Demenge Jacques,undirected,,{}
Nicole,Demenge Thiebault,SPOUSE_OF,w018,1.0,Nicole femme Demenge Thiebault Lamouratte,undirected,,{}
Barbe,Remy Choffel,SPOUSE_OF,w018,1.0,Barbe femme Remy Choffel,undirected,,{}
Catherine,Delon Choffel,SPOUSE_OF,w018,1.0,Catherine femme Delon Choffel,undirected,,{}
Colatte,Jean Demenge,SPOUSE_OF,w018,1.0,Colatte femme Jean Demenge,undirected,,{}
Anne,Romain Thiebault,SPOUSE_OF,w018,1.0,Anne femme Romain Thiebault Lamouratte,undirected,,{}
Mongeotte,Remy Claude,SPOUSE_OF,w018,1.0,Mongeotte femme Remy Claude Parmentier,undirected,,{}
Mongeotte,Joseph Claudel,SPOUSE_OF,w018,1.0,Mongeotte femme Joseph Claudel Dirhay,undirected,,{}
Royne,Remy Martin,SPOUSE_OF,w018,1.0,Royne femme Remy Martin,undirected,,{}
Toussaine,Jean Colé,SPOUSE_OF,w019,1.0,Toussaine femme Jean Colé,undirected,,{}
Claudine,Jean Cunelier,SPOUSE_OF,w023,1.0,Claudine femme Jean Cunelier,undirected,,{}
Claudatte,Didier Mengin,SPOUSE_OF,w023,1.0,Claudatte femme Didier Mengin,undirected,,{}
Magdelaine,Ambroise Caba,SPOUSE_OF,w023,1.0,Magdelaine femme Ambroise Caba,undirected,,{}
Jeanne,Claudon Mengin,SPOUSE_OF,w023,1.0,Jeanne femme Claudon Mengin,undirected,,{}
Sabillon,Didier,SPOUSE_OF,w023,1.0,Sabillon femme Didier de Dompierre,undirected,,{}
Barbelline,Jean Bouchat,SPOUSE_OF,w023,1.0,Barbelline femme Jean Bouchat,undirected,,{}
Marie,Francois Rouyer,SPOUSE_OF,w023,1.0,Marie femme Francois Rouyer,undirected,,{}
Claudatte,Jean Pinadel,SPOUSE_OF,w023,1.0,Claudatte femme Jean Pinadel,undirected,,{}
Marguerite,Nicolas Humbert,SPOUSE_OF,w024,1.0,Marguerite femme Nicolas Humbert dit de Serceour,undirected,,{}
Jennon,Demenge,SPOUSE_OF,w024,1.0,Jennon femme Demenge de Merviller,undirected,,{}
Jehenne,Nicolas Saulnier,SPOUSE_OF,w024,1.0,Jehenne femme Nicolas Saulnier,undirected,,{}
Barbelline,Demenge Moictrier,SPOUSE_OF,w024,1.0,Barbelline femme Demenge Moictrier,undirected,,{}
Sebille,Claude Jean,SPOUSE_OF,w024,1.0,Sebille femme Claude Jean Claude,undirected,,{}
Annel,Jean Simonin,SPOUSE_OF,w024,1.0,Annel femme Jean Simonin,undirected,,{}
Alison,Demenge,SPOUSE_OF,w024,1.0,Alison femme Demenge le Conte,undirected,,{}
